arxiv,date,cites,title,authors,flags,sources,doi,abstract_400
1910.05285,2019-10-11,16,EFT of Interacting Spin-2 Fields,"Alberte, Lasma; de Rham, Claudia; Momeni, Arshia; Rumbutis, Justinas",ghost,inspire:citing_1308.1647,10.1007/JHEP01(2020)131,"We consider the effective field theory of multiple interacting massive spin-2 fields. We focus on the case where the interactions are chosen so that the cutoff is the highest possible, and highlight two distinct classes of theories. In the first class, the mass eigenstates only interact through potential operators that carry no derivatives in unitary gauge at leading order. In the second class, a "
1910.01651,2019-10-03,31,On the stability of bimetric structure formation,"Högås, Marcus; Torsello, Francesco; Mörtsell, Edvard",bimetric,arxiv:bimetric_recent;arxiv:idlist_status;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1407.4331;inspire:citing_1410.0207;inspire:citing_1503.07436;inspire:ft_higuchi_bimetric_2016,10.1088/1475-7516/2020/04/046,"Bimetric gravity can reproduce the accelerated expansion of the Universe, without a cosmological constant. However, the stability of these solutions to linear perturbations has been questioned, suggesting exponential growth of structure in this approximation. We present a simple model of structure formation, for which an analytical solution is derived. The solution is well-behaved, showing that th"
1909.11382,2019-09-25,,"CPTM discrete symmetry, quantum wormholes and cosmological constant problem",S. Bondarenko,bimetric,arxiv:bimetric_recent,,"We discuss the consequences of the charge, parity, time and mass (CPTM) extended reversal symmetry for the problems of the vacuum energy density and value of the cosmological constant. The results obtained are based on the framework with the separation of extended space-time of the interest on the different regions connected by this symmetry with the action of the theory valid for the full space-t"
1909.07992,2019-09-17,,Ultraviolet Freeze-in and Non-Standard Cosmologies,Nicolás Bernal; Fatemeh Elahi; Carlos Maldonado; James Unwin,bimetric,arxiv:bimetric_recent,,"A notable feature of UV freeze-in is that the relic density is strongly dependent on the highest temperatures of the thermal bath, and a common assumption is that the relevant 'highest temperature' should be the reheating temperature after inflation $T_\text{RH}$. However, the temperature of the thermal bath can be significantly higher in certain scenarios, reaching a value denoted T max , a fact "
,2019-09-09,0,Probing the Dark Universe with Gravitational Waves,"Ezquiaga Bravo, José María",varying,inspire:citing_1308.1647;inspire:citing_1503.07436,,"Gravitational wave (GW) astronomy opens new opportunities to explore the universe
and its fundamental laws. This thesis focuses on probing the pillars of the standard
cosmological model with GWs, specially its most puzzling components: dark energy (DE)
and dark matter (DM). We propose and apply new tests of DE and General Relativity
(GR) with the propagation of GWs. We also investigate the formati"
1908.03212,2019-08-08,11,Cosmological Instabilities and the Role of Matter Interactions in Dynamical Dark Energy Models,"Wolf, William J.; Lagos, Macarena","gradient,scalar-coupled,ghost",inspire:citing_1407.4331;inspire:citing_1503.07436,10.1103/PhysRevD.100.084035,"We consider cosmological models with a dynamical dark energy field, and study the presence of three types of commonly found instabilities, namely ghost (when fields have negative kinetic energy), gradient (negative momentum squared), and tachyon (negative mass squared). In particular, we study the linear scalar perturbations of theories with two interacting scalar fields as a proxy for a dark ener"
1907.13491,2019-07-31,,Resolving the vDVZ and Strong Coupling Problems in Massive Gravity and Bigravity,Gregory Gabadadze; Daniel Older; David Pirtskhalava,bimetric,arxiv:bimetric_recent,,"As is well known, both massive gravity and bigravity exhibit the linear van Dam-Veltman-Zakharov (vDVZ) discontinuity that is cured classically by the nonlinear Vainshtein mechanism due to certain low scale strongly coupled interactions. Here we show how both the vDVZ and strong coupling problems can be removed by embedding 4D covariant massive gravity into a certain 5D warped geometry. The 4D the"
1907.04161,2019-07-09,31,A Note on String Excitations and the Higuchi Bound,"Lüst, Dieter; Palti, Eran",higuchi,arxiv:higuchi_all;inspire:ft_genhiguchi,10.1016/j.physletb.2019.135067,"In this brief note we consider the interaction between high spin excitations in string theory along the Regge trajectory and the Higuchi bound in de Sitter space. There is always a point along the Regge trajectory where the Higuchi bound is violated. However, this point precisely coincides with a string whose length is of order the de Sitter Hubble scale. String theory therefore manifests no immed"
1907.02535,2019-07-04,,String Regge trajectory in de Sitter space and implications for inflation,Toshifumi Noumi; Toshiaki Takeuchi; Siyi Zhou,higuchi,arxiv:higuchi_all,,"We study the spectrum of semiclassical rotating strings in de Sitter space and its consistency. Even though a naive extrapolation of the linear Regge trajectory on flat space implies a violation of the Higuchi bound (a unitarity bound on the mass of higher-spin particles in de Sitter space), the curved space effects turn out to modify the trajectory to respect the bound. Interestingly, as a conseq"
1906.12055,2019-06-28,2,Non-Fierz-Pauli bimetric theory from quadratic curvature gravity on Einstein manifolds,"Niiyama, Yuki; Nakamura, Yuya; Zaimokuya, Ryosuke; Furuya, Yu",bimetric,inspire:ft_higuchi_bimetric_2016,,"We show that, in four-dimensional spacetimes with an arbitrary Einstein metric, with and without a cosmological constant, perturbative dynamical degrees of freedom in generic quadratic-curvature gravity can be decoupled into massless and massive parts. The massive part has the structure identical to, modulo the over-all sign, the non-Fierz-Pauli-type massive gravity, and a further decomposition in"
1906.10558,2019-06-25,,On the Mathematical Validity of the Higuchi Method,Lukas Liehr; Peter Massopust,higuchi,arxiv:higuchi_all,,"In this paper, we discuss the Higuchi algorithm which serves as a widely used estimator for the box-counting dimension of the graph of a bounded function $f : [0,1] \to \R$. We formulate the method in a mathematically precise way and show that it yields the correct dimension for a class of non-fractal functions. Furthermore, it will be shown that the algorithm follows a geometrical approach and th"
1906.01593,2019-06-04,278,Testing modified gravity at cosmological distances with LISA standard sirens,"Belgacem, Enis; Calcagni, Gianluca; Crisostomi, Marco; Dalang, Charles","bimetric,scalar-coupled",arxiv:bimetric_desi;arxiv:bimetric_recent;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1410.0207,10.1088/1475-7516/2019/07/024,"Modifications of General Relativity leave their imprint both on the cosmic expansion history through a non-trivial dark energy equation of state, and on the evolution of cosmological perturbations in the scalar and in the tensor sectors. In particular, the modification in the tensor sector gives rise to a notion of gravitational-wave (GW) luminosity distance, different from the standard electromag"
,2019-05-27,0,Symmetries in four-dimensional multi-spin-two field theory: relations to Chern-Simons gravity and further applications,"González Albornoz, Nicolás Lorenzo","bimetric,ghost",inspire:citing_1407.4331,10.5282/edoc.24520,"This thesis is devoted to the investigation of the symmetry in theories for spin-2 elds. In particular, we address the question whether the fully nonlinear theories for massless and massive spin-2 particles |namely standard general relativity and bimetric gravity, can be obtained from a pure gauge theory formulation. Furthermore, we explore the discrete symmetries that can arise in a theory for ma"
1905.09687,2019-05-23,35,Modified Gravity and Dark Energy models Beyond $w(z)$CDM Testable by LSST,"Ishak, Mustapha; Baker, Tessa; Bull, Philip; Pedersen, Eske M.",,inspire:citing_1407.4331,,"One of the main science goals of the Large Synoptic Survey Telescope (LSST) is to uncover the nature of cosmic acceleration. In the base analysis, possible deviations from the Lambda-Cold-Dark-Matter ($\Lambda$CDM) background evolution will be probed by fitting a $w(z)$CDM model, which allows for a redshift-dependent dark energy equation of state with $w(z)$, within general relativity (GR). A rich"
1905.09832,2019-05-23,11,Generalized Vaidya solutions in bimetric gravity,"Högås, Marcus; Kocic, Mikica; Torsello, Francesco; Mörtsell, Edvard",bimetric,inspire:citing_1503.07436;inspire:ft_higuchi_bimetric_2016,10.1088/1361-6382/ab971a,"In general relativity, the endpoint of spherically symmetric gravitational collapse is a Schwarzschild–[(A)dS] black hole. In bimetric gravity, it has been speculated that a static end state must also be Schwarzschild–[(A)dS]. To this end, we present a set of exact solutions, including collapsing massless dust particles. For these, the speculation is confirmed."
1905.09465,2019-05-23,,A general class of gravitational theories as alternatives to dark matter where the speed of gravity always equals the speed of light,Constantinos Skordis; Tom Zlosnik,bimetric,arxiv:bimetric_recent,,"A number of theories of gravity have been proposed as proxies for dark matter in the regime of galaxies and cosmology. The recent observations of gravitational waves (GW170817) from the merger of two neutron stars, followed by an electromagnetic counterpart (GW170817a) have placed stringent constraints on the difference of the speed of gravity to the speed of light, severely restricting the phenom"
1901.03967,2019-01-13,2,Coordinate-time lapse function of FLRW accelerated expanding universe in dRGT massive gravity theory,"Alatas, Husin; Falah, Ahmad K.; Wibowo, Trio; Qohhar, Muhammad A.",,inspire:citing_1206.3852,10.1142/S021827182050073X,"In this paper, we discuss the behavior of coordinate-time dependent lapse function of FLRW metric of an accelerated expanding universe in the de Rham–Gabadadze–Tolley massive gravity theory. Physically, this function is considered to connect a general observer coordinate-time to the related proper-time and also to another normal observer under specific condition. We find that in the standard dRGT "
,2019,1,Phenomenology of Massive Spin-2 Fields,"Platscher, Moritz Ernst Lothar",bimetric,inspire:citing_1206.3852;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1407.4331;inspire:citing_1410.0207;inspire:citing_1503.07436,10.11588/heidok.00025876,"We derive and discuss the implications of massive spin-2 fields as possible extensions of the standard theory of gravity, general relativity, in the spirit of extension of the standard model of particle physics. We give a thorough introduction to the topic of massive gravity from the point of view of bi- or multi-metric extensions of general relativity, focussing on the bimetric case in the phenom"
,2019,1,Constraints on Massive Gravity: A Numerical Study of Galileons,"Deskins, Jennings T.",scalar-coupled,inspire:citing_1206.3852;inspire:citing_1308.1647,,"General Relativity (GR) is a theory of gravity that has successfully modeled gravitational interactions from lab scales to extra-galactic scales. Despite its successes, there are several aspects whose theoretical underpinnings have yet to be understood. In this work we are motivated by understanding the origin of the observed cosmic accelerated expansion. 

GR is known to be the unique theory desc"
1812.09786,2018-12-23,8,Stress testing the dark energy equation of state imprint on supernova data,"Moews, Ben; de Souza, Rafael S.; Ishida, Emille E.O.; Malz, Alex I.",,inspire:citing_1407.4331,10.1103/PhysRevD.99.123529,This work determines the degree to which a traditional analysis of the standard model of cosmology (ΛCDM) based on type Ia supernovae can identify deviations from a cosmological constant in the form of a redshift-dependent dark energy equation of state w(z). We introduce and apply a novel random curve generator to simulate instances of w(z) from constraint families with increasing distinction from
1812.08686,2018-12-20,33,Bimetric cosmology is compatible with local tests of gravity,"Lüben, Marvin; Mörtsell, Edvard; Schmidt-May, Angnis",bimetric,arxiv:bimetric_recent;arxiv:idlist_status;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1407.4331;inspire:citing_1410.0207;inspire:citing_1503.07436;inspire:ft_higuchi_bimetric_2016,10.1088/1361-6382/ab4f9b,"Recently, Kenna-Allison et al claimed that bimetric gravity cannot give rise to a viable cosmological expansion history while at the same time being compatible with local gravity tests. In this note we review that claim and combine various results from the literature to provide several simple counter examples. We conclude that the results of Kenna-Allison et al cannot hold in general."
1812.05496,2018-12-13,19,Viability of bigravity cosmology,"Kenna-Allison, Michael; Gümrükçüoǧlu, A. Emir; Koyama, Kazuya",bimetric,arxiv:bimetric_recent;arxiv:idlist_2;inspire:citing_1206.3852;inspire:citing_1404.0008;inspire:citing_1407.4331;inspire:citing_1410.0207;inspire:ft_higuchi_bimetric_2016,10.1103/PhysRevD.99.104032,"We revisit the question of viability of bigravity cosmology as a candidate for dark energy. In the context of the low energy limit model, where matter couples to a single metric, we study linear perturbations around homogeneous and isotropic backgrounds to derive the Poisson’s equation for the Newtonian potential. Extending to second order perturbations, we identify the Vainshtein radius below whi"
1811.06089,2018-11-14,1,A Tale of Two Scales: Screening in Large Scale Structure,"Fasiello, Matteo; Vlah, Zvonimir",,inspire:citing_1308.1647,,"The perturbative treatment of dark matter in structure formation relies on the existence of a well-defined expansion parameter, $k/k_{\rm NL}$, with $k_{\rm NL}$ signalling the onset and ultimately the leading role of non-linearities in the system. Cosmologies beyond the {\Lambda}CDM model often come with additional degree(s) of freedom. The scale $k_{\rm V}$ at which non-linearities become import"
1810.13231,2018-10-26,,Oscillating universe in massive bigravity,M. Mousavi; F. Darabi,bimetric,arxiv:bimetric_recent,,"In this paper, in the framework of massive bigravity, we study all possible cosmic evolutions by using a method in which the modified Friedmann equation is written in a form where the scale factor evolves like the motion of a particle under a ""potential"". Massive bigravity provides this potential with the most general mass interaction term which can create new circumstances to find different kinds"
1810.08866,2018-10-20,33,Tensor non-Gaussianities from Non-minimal Coupling to the Inflaton,"Dimastrogiovanni, Emanuela; Fasiello, Matteo; Tasinato, Gianmassimo; Wands, David",higuchi,arxiv:higuchi_all;inspire:citing_1206.3852;inspire:citing_1308.1647,10.1088/1475-7516/2019/02/008,"Tensor non-Gaussianity represents an important future probe of the physics of inflation. Inspired by recent works, we elaborate further on the possibility of significant primordial tensor non-Gaussianities sourced by extra fields during inflation. Unitarity constraints limit the impact of extra (spinning) particle content by means of a lower bound on the corresponding mass spectrum. For spin-2 par"
1810.07186,2018-10-16,19,The Infrared Structure of Exceptional Scalar Theories,"Yin, Zhewei",scalar-coupled,inspire:citing_1308.1647,10.1007/JHEP03(2019)158,"Exceptional theories are a group of one-parameter scalar field theories with (enhanced) vanishing soft limits in the S-matrix elements. They include the nonlinear sigma model (NLSM), Dirac-Born-Infeld scalars and the special Galileon theory. The soft behavior results from the shift symmetry underlying these theories, which leads to Ward identities generating subleading single soft theorems as well"
,2018-09-17,0,Primordial Non-Gaussianity and Primordial Tensor Modes,"Bordin, Lorenzo",,inspire:citing_1206.3852,,"The discoveries in observational cosmology of the last two decades led to a tremendous progress in cosmology. From a theory with mainly qualitative ideas about the expanding universe originated from a state with high density and temper- ature (Hot Big Bang cosmological model), cosmology rapidly evolved to a quantita- tive science that culminated with the formulation of the so-called ΛCDM model in "
1809.05318,2018-09-14,22,Long Range Effects in Gravity Theories with Vainshtein Screening,"Platscher, Moritz; Smirnov, Juri; Meyer, Sven; Bartelmann, Matthias",bimetric,inspire:citing_1206.3852;inspire:citing_1404.0008,10.1088/1475-7516/2018/12/009,"In this paper we study long range modifications of gravity in the consistent framework of bigravity, which introduces a second massive spin-2 field and allows to continuously interpolate between the regime of General Relativity (mediated by a massless spin-2 field) and massive gravity (mediated by a massive spin-2 field). In particular we derive for the first time the equations for light deflectio"
1808.04292,2018-08-13,5,The Ogievetsky-Polubarinov massive gravity and the benign Boulware-Deser mode,"Mukohyama, Shinji; Volkov, Mikhail S.",ghost,inspire:citing_1308.1647,10.1088/1475-7516/2018/10/037,"We present our analysis of the theory constructed in 1965 by Ogievetsky and Polubarinov (OP)— the first ever theory of interacting massive gravitons. Its mass term is adjusted in such a way that the non-linear field equations imply as a consequence the linear Hilbert-Lorentz condition, which restricts the spin of states in the theory. Strikingly, for special parameter values this theory coincides "
1808.04137,2018-08-13,9,Bigravity and Horndeski gravity connected by a disformal coupling,"Gannouji, Radouane; Hossain, Md. Wali; Jaman, Nur; Sami, M.",bimetric,inspire:citing_1702.04490,10.1103/PhysRevD.99.043504,"In this paper, we study bigravity theory in a very specific limit in which we focused only on 1 degree of freedom generated by the massive graviton. We analyze the model in the context of cosmology and demonstrate that the model can give rise to late-time cosmic acceleration as an attractor of the dynamical system. However, the observational constraints due to tensor perturbations are stringent, g"
,2018-08-10,1,Models of Compact Stars in the Bimetric Scalar-Tensor Theory of Gravitation,"Grigorian, Levon Sh.; Khachatryan, Hrant F.; Saharian, Aram A.","bimetric,scalar-coupled",inspire:t_bimetric_scalar,10.3390/particles1010015,"We investigate static spherically-symmetric configurations of gravitating masses in the bimetric scalar-tensor theory of gravitation. In the gravitational sector, the theory contains the metric tensor, a scalar field and a background metric as an absolute variable of the theory. The analysis is presented for the simplest version of the theory with a constant coupling function and a zero cosmologic"
1808.02165,2018-08-06,70,Scalar Gravitational Radiation from Binaries: Vainshtein Mechanism in Time-dependent Systems,"Dar, Furqan; De Rham, Claudia; Deskins, J. Tate; Giblin, John T.",,inspire:citing_1308.1647,10.1088/1361-6382/aaf5e8,"We develop a full four-dimensional numerical code to study scalar gravitational radiation emitted from binary systems and probe the Vainshtein mechanism in situations that break the static and spherical symmetry, relevant for binary pulsars as well as black holes and neutron stars binaries. The present study focuses on the cubic Galileon which arises as the decoupling limit of massive theories of "
1808.01403,2018-08-03,25,Black holes and stars in the minimal theory of massive gravity,"De Felice, Antonio; Larrouturou, François; Mukohyama, Shinji; Oliosi, Michele",,inspire:citing_1702.04490;inspire:citing_1711.04655,10.1103/PhysRevD.98.104031,"In this paper, we show that any solution of general relativity (GR) that can be rendered spatially flat by a coordinate change is also a solution of the self-accelerating branch of the minimal theory of massive gravity (MTMG), with or without matter. We then for the first time obtain black hole and star solutions in a theory of massive gravity that agree with the corresponding solutions in GR and "
1807.09241,2018-07-24,236,Dark Energy in light of Multi-Messenger Gravitational-Wave astronomy,"Ezquiaga, Jose María; Zumalacárregui, Miguel",,inspire:citing_1308.1647;inspire:citing_1503.07436,10.3389/fspas.2018.00044,"Gravitational waves (GWs) provide a new tool to probe the nature of dark energy (DE) and the fundamental properties of gravity. We review the different ways in which GWs can be used to test theories of gravity and cosmology, emphasizing models for late-time cosmic acceleration. Lagrangian-based gravitational theories beyond general relativity (GR) are classified into those breaking fundamental ass"
1807.08754,2018-07-23,41,On the (A)dS Decoupling Limits of Massive Gravity,"De Rham, Claudia; Hinterbichler, Kurt; Johnson, Laura A.",ghost,inspire:citing_1308.1647,10.1007/JHEP09(2018)154,We consider various decoupling limits of ghost-free massive gravity on (A)dS. The first is a decoupling limit on AdS space where the mass goes to zero while the AdS radius is held fixed. This results in an interacting massive Proca vector theory with a Λ$_{2}$ ∼ (M$_{Pl}$m)$^{1/2}$ strong coupling scale which is ghost-free by construction and yet can not be put in the form of the generalized Proca
1807.01725,2018-07-04,503,A systematic approach to generalisations of General Relativity and their cosmological implications,"Heisenberg, Lavinia",bimetric,arxiv:bimetric_recent;inspire:citing_1206.3852;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1407.4331,10.1016/j.physrep.2018.11.006,"A century ago, Einstein formulated his elegant and elaborate theory of General Relativity, which has so far withstood a multitude of empirical tests with remarkable success. Notwithstanding the triumphs of Einstein’s theory, the tenacious challenges of modern cosmology and of particle physics have motivated the exploration of further generalised theories of space–time. Even though Einstein’s inter"
1807.00591,2018-07-02,,Massive Anti-de Sitter Gravity from String Theory,Constantin Bachas; Ioannis Lavdas,"varying,bimetric",arxiv:bimetric_varying,,"We study top-down embeddings of massive Anti-de Sitter (AdS) gravity in type-IIB string theory. The supergravity solutions have a AdS$_4$ fiber warped over a manifold M$_6$ whose shape resembles that of scottish bagpipes: The `bag' is a conventional AdS$_4$-compactification manifold, while the `pipes' are highly-curved semi-infinite Janus throats. Besides streamlining previous discussions of the p"
1806.10587,2018-06-27,,Light Particles with Spin in Inflation,Lorenzo Bordin; Paolo Creminelli; Andrei Khmelnitsky; Leonardo Senatore,higuchi,arxiv:higuchi_all,,"The existence of light particles with spin during inflation is prohibited by the Higuchi bound. This conclusion can be evaded if one considers states with a sizeable coupling with the inflaton foliation, since this breaks the de Sitter isometries. The action for these states can be constructed within the Effective Field Theory of Inflation, or using a CCWZ procedure. Light particles with spin have"
1806.10122,2018-06-26,553,Testing General Relativity in Cosmology,"Ishak, Mustapha",,inspire:citing_1206.3852;inspire:citing_1407.4331;inspire:citing_1410.0207;inspire:citing_1503.07436,10.1007/s41114-018-0017-4,"We review recent developments and results in testing general relativity (GR) at cosmological scales. The subject has witnessed rapid growth during the last two decades with the aim of addressing the question of cosmic acceleration and the dark energy associated with it. However, with the advent of precision cosmology, it has also become a well-motivated endeavor by itself to test gravitational phy"
1806.04666,2018-06-12,17,Noncommutative gravity with self-dual variables,"de Cesare, Marco; Sakellariadou, Mairi; Vitale, Patrizia",bimetric,inspire:citing_1407.4331,10.1088/1361-6382/aae3f5,"We build a noncommutative extension of Palatini–Holst theory on a twist-deformed spacetime, generalizing a model that has been previously proposed by Aschieri and Castellani. The twist deformation entails an enlargement of the gauge group, and leads to the introduction of new gravitational degrees of freedom. In particular, the tetrad degrees of freedom must be doubled, thus leading to a bitetrad "
1806.00850,2018-06-03,49,Probing the inflationary particle content: extra spin-2 field,"Dimastrogiovanni, Emanuela; Fasiello, Matteo; Tasinato, Gianmassimo",ghost,inspire:citing_1206.3852;inspire:citing_1308.1647;inspire:citing_1410.0207,10.1088/1475-7516/2018/08/016,We study how inflationary observables associated with primordial tensor modes are affected by coupling the minimal field content with an extra spin-2 particle during inflation. We work with a model that is ghost-free at the fully non-linear level and show how the new degrees of freedom modify standard consistency relations for the tensor bispectrum. The extra interacting spin-2 field is necessaril
1806.00602,2018-06-02,9,Phenomenology of minimal theory of quasidilaton massive gravity,"De Felice, Antonio; Mukohyama, Shinji; Oliosi, Michele",varying,inspire:citing_1404.0008;inspire:citing_1702.04490;inspire:citing_1711.04655,10.1103/PhysRevD.99.044055,The minimal theory of quasidilaton massive gravity with or without a Horndeski-type kinetic term for the quasidilaton field propagates only three physical modes: the two massive tensor polarizations and one scalar mode. This reduced number of degrees of freedom is realized by a Lorentz symmetry violation at cosmological scales and the presence of appropriate constraints that remove unwanted modes.
1806.00483,2018-06-01,16,Pseudolinear spin-2 interactions,"Bonifacio, James; Hinterbichler, Kurt; Johnson, Laura A.","bimetric,ghost",inspire:citing_1308.1647,10.1103/PhysRevD.99.024037,"We show how the pseudolinear interactions for spin-2 particles can be straightforwardly extended to include multiple massive and massless fields without introducing ghosts. When massive spin-2 fields are included, these give simple analogues of bigravity and multigravity theories with mass terms that break linear gauge symmetries. The interactions containing only massless particles cannot be writt"
1805.10650,2018-05-27,53,White dwarfs in de Rham-Gabadadze-Tolley like massive gravity,"Eslam Panah, B.; Liu, H.L.",,inspire:citing_1206.3852;inspire:citing_1308.1647,10.1103/PhysRevD.99.104074,"The existence of possible massive white dwarfs more than the Chandrasekhar limit (1.45 M⊙, in which M⊙ is mass of the sun) is a challenging topic. In this regard, and motivated by the important effect of massive graviton on the structure of white dwarfs, we study the white dwarfs in Vegh’s massive gravity which is known as one of theories of de Rham, Gabadadze, and Tolley (dRGT) like massive gravi"
,2018-05-15,0,"Proceedings, 4th Amazonian Symposium on Physics: Celebrating 100 years of the de Sitter solution and 60 years of Atsushi Higuchi","Crispino, L. C. B.; Dolan, S. R.; Fewster, C. J.; Matsas, G. E. A.",higuchi,inspire:ft_genhiguchi,,
1805.00027,2018-04-30,84,Model-independent reconstruction of the linear anisotropic stress $\eta$,"Pinho, Ana Marta; Casas, Santiago; Amendola, Luca",,inspire:citing_1407.4331,10.1088/1475-7516/2018/11/027,"In this work, we use recent data on the Hubble expansion rate H(z), the quantity fσ8(z) from redshift space distortions and the statistic Eg from clustering and lensing observables to constrain in a model-independent way the linear anisotropic stress parameter η. This estimate is free of assumptions about initial conditions, bias, the abundance of dark matter and the background expansion. We denot"
1804.10835,2018-04-28,,Strength of singularities in varying constants theories,Konrad Marosek; Adam Balcerzak,bimetric,arxiv:bimetric_recent,,In this paper we consider a specific type of the bimetric theory of gravitation with the two different metrics introduced in the cosmological frame. Both metrics respect all the symmetries of the standard FLRW solution and contain conformally related spatial parts. One of the metric is assumed to describe the causal structure for the matter. Another metric defines the causal structure for the grav
1804.09215,2018-04-24,18,Infrared modified gravity with propagating torsion: instability of torsionfull de Sitter-like solutions,"Nikiforova, Vasilisa; Damour, Thibault",gradient,inspire:citing_1407.4331;inspire:citing_1410.0207;inspire:citing_1503.07436,10.1103/PhysRevD.97.124014,"We continue the exploration of the consistency of a modified-gravity theory that generalizes general relativity by including a dynamical torsion in addition to the dynamical metric. The six-parameter theory we consider was found to be consistent around arbitrary torsionless Einstein backgrounds, in spite of its containing a (notoriously delicate) massive spin-2 excitation. At zero bare cosmologica"
1803.09726,2018-03-26,55,Neutron star merger GW170817 strongly constrains doubly coupled bigravity,"Akrami, Yashar; Brax, Philippe; Davis, Anne-Christine; Vardanyan, Valeri",bimetric,arxiv:bimetric_recent;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1407.4331;inspire:citing_1410.0207;inspire:citing_1503.07436;inspire:ft_higuchi_bimetric_2016,10.1103/PhysRevD.97.124010,"We study the implications of the recent detection of gravitational waves emitted by a pair of merging neutron stars and their electromagnetic counterpart, events GW170817 and GRB170817A, on the viability of the doubly coupled bimetric models of cosmic evolution, where the two metrics couple directly to matter through a composite, effective metric. We demonstrate that the bounds on the speed of gra"
1803.05059,2018-03-13,7,A quest for a “direct” observation of the Unruh effect with classical electrodynamics: In honor of Atsushi Higuchi 60th anniversary,"Cozzella, Gabriel; Landulfo, Andre G.S.; Matsas, George E.A.; Vanzella, Daniel A.T.",higuchi,inspire:ft_genhiguchi,10.1142/S0218271818430083,"The Unruh effect is essential to keep the consistency of quantum field theory in inertial and uniformly accelerated frames. Thus, the Unruh effect must be considered as well-tested as quantum field theory itself. In spite of it, it would be nice to realize an experiment whose output could be directly interpreted in terms of the Unruh effect. This is not easy because the linear acceleration needed "
1802.08606,2018-02-23,,Speed of gravitational waves and black hole hair,Oliver J. Tattersall; Pedro G. Ferreira; Macarena Lagos,"bimetric,scalar-coupled",arxiv:bimetric_recent,,"The recent detection of GRB 170817A and GW170817 constrains the speed of gravity waves $c_T$ to be that of light, which severely restricts the landscape of modified gravity theories that impact the cosmological evolution of the universe. In this work, we investigate the presence of black hole hair in the remaining viable cosmological theories of modified gravity that respect the constraint $c_T=1$"
1802.01017,2018-02-03,21,Mass-radius ratio bounds for compact objects in Lorentz-violating dRGT massive gravity theory,"Kareeso, Parinya; Burikham, Piyabut; Harko, Tiberiu",ghost,inspire:citing_1407.4331,10.1140/epjc/s10052-018-6408-6,"We consider the mass-radius bounds for spherically symmetric static compact objects in the de Rham-Gabadadze-Tolley (dRGT) massive gravity theories, free of ghosts. In this type of gravitational theories the graviton, the quantum of gravity, may have a small, but non-vanishing mass. We derive the hydrostatic equilibrium and mass continuity equations in the Lorentz-violating massive gravity in the "
1801.07575,2018-01-23,,Magnetic Seed and Cosmology as Quantum Hall Effect,H. Falomir; J. Gamboa; P. Gondolo; F. Mendez,bimetric,arxiv:bimetric_recent,,"In the framework of a bimetric model, we discuss a relation between the (modified) Friedmann equations and a mechanical system similar to the quantum Hall effect problem. Firstly, we show how these modified Friedmann equations are mapped to an anisotropic two-dimensional charged harmonic oscillator in the presence of a constant magnetic field, with the frequencies of the oscillator playing the rol"
1801.07260,2018-01-22,300,Does the Hubble constant tension call for new physics?,"Mörtsell, Edvard; Dhawan, Suhail",,inspire:citing_1308.1647;inspire:citing_1503.07436,10.1088/1475-7516/2018/09/025,"The Λ Cold Dark Matter model (ΛCDM) represents the current standard model in cosmology. Within this, there is a tension between the value of the Hubble constant, H0, inferred from local distance indicators and the angular scale of fluctuations in the Cosmic Microwave Background (CMB). In terms of Bayseian evidence, we investigate whether the tension is significant enough to warrant new physics in "
1801.06764,2018-01-21,,Exact ghost-free bigravitational waves,Eloy Ayón-Beato; Daniel Higuita-Borja; Julio A. Méndez-Zavaleta; Gerardo Velázquez-Rodríguez,"bimetric,scalar-coupled,ghost",arxiv:bimetric_recent;arxiv:bimetric_scalar,,"We study the propagation of exact gravitational waves in the ghost-free bimetric theory. Our focus is on type N spacetimes compatible with the cosmological constants provided by the bigravity interaction potential, and particularly in the single class known by allowing at least a Killing symmetry: the AdS waves. They have the advantage of being represented by a generalized Kerr-Schild transformati"
1708.06502,2018-01-18,55,Limit on graviton mass from galaxy cluster Abell 1689,"Desai, Shantanu",,inspire:citing_1206.3852;inspire:citing_1404.0008,10.1016/j.physletb.2018.01.052,"To date, the only limit on graviton mass using galaxy clusters was obtained by Goldhaber and Nieto in 1974, using the fact that the orbits of galaxy clusters are bound and closed, and extend up to 580 kpc. From positing that only a Newtonian potential gives rise to such stable bound orbits, a limit on the graviton mass mg<1.1×10−29eV was obtained [1] . Recently, it has been shown that one can obta"
,2018,0,Cosmologies with massive gravitons and their properties,"Mazuet, Charles",ghost,inspire:citing_1404.0008;inspire:citing_1407.4331;inspire:citing_1702.04490;inspire:citing_1711.04655,,"Cosmology in general and the cosmological constant problem are highly important as an insight on new physics. Indeed thanks to the discovery of the accelerating expansion of the Universe a whole bunch of new theories appeared. Until then, the General Relativity was the theory describing the Universe at large scale, but now several alternatives are good candidates to provide a better description ab"
